genres,danceability,energy,valence,tempo,cluster,cluster_dbscan,cluster_hc,Cluster_Label,pca1,pca2
['welsh folk'],0.405,0.00758,0.142,124.439,0,0.0,0,Instrumental / Acoustic,6.787028336723793,-0.7085945845052719
['poetry'],0.708,0.0736,0.396,84.175,2,0.0,2,Happy / Dance,-33.476706125252534,-0.3247938096373879
['ryukyu ongaku'],0.554,0.286,0.611,86.79,0,0.0,0,Instrumental / Acoustic,-30.861099862740076,-0.09285810629139102
['sertanejo tradicional'],0.671,0.215,0.647,122.351,0,0.0,0,Instrumental / Acoustic,4.699695951778622,-0.12234427445924467
['sertanejo tradicional'],0.501,0.126,0.216,103.31,0,0.0,0,Instrumental / Acoustic,-14.34171903825333,-0.52278536825603
['chanson'],0.57,0.394,0.924,169.969,0,0.0,0,Instrumental / Acoustic,52.318195415740036,0.0873007545622787
['chanson'],0.557,0.482,0.769,122.17,1,0.0,1,Mainstream / Party,4.519294296572298,0.08854611789218281
['chanson'],0.381,0.412,0.617,128.074,0,0.0,0,Instrumental / Acoustic,10.423116640046544,-0.13048722235740895
['latin jazz'],0.752,0.543,0.962,128.125,1,0.0,1,Mainstream / Party,10.474463154640375,0.3216493910655305
['velha guarda'],0.602,0.461,0.895,88.237,0,0.0,1,Instrumental / Acoustic,-29.413586148217775,0.23473895955397828
['torch song'],0.388,0.275,0.647,146.596,0,0.0,0,Instrumental / Acoustic,28.94488284047233,-0.21276084762105507
['classic arab pop'],0.462,0.354,0.423,117.344,0,0.0,1,Instrumental / Acoustic,-0.30716983442026446,-0.2680490367085681
['dutch folk'],0.777,0.0577,0.477,124.515,0,0.0,0,Instrumental / Acoustic,6.863233594263775,-0.31075162260123645
['dutch folk'],0.716,0.04,0.931,72.83,0,0.0,0,Instrumental / Acoustic,-44.82126553915819,0.0753619332767963
['classic arab pop'],0.366,0.194,0.369,74.704,0,0.0,0,Instrumental / Acoustic,-42.94735507301226,-0.36947169739837715
['jazz trombone'],0.512,0.311,0.727,147.652,0,0.0,1,Instrumental / Acoustic,30.000952496085375,-0.0941343047875185
['vintage chanson'],0.517,0.125,0.414,76.882,0,0.0,0,Instrumental / Acoustic,-40.769502628590715,-0.33126201341550615
['classic polish pop'],0.651,0.322,0.92,107.977,1,0.0,1,Mainstream / Party,-9.673849758644266,0.1590898208210022
['classic polish pop'],0.455,0.223,0.496,116.011,0,0.0,1,Instrumental / Acoustic,-1.640312291777164,-0.28992820152025534
['appalachian folk'],0.422,0.153,0.149,210.192,0,0.0,0,Instrumental / Acoustic,92.54010584287195,-0.7391968267452177
